date,region,product,sales_amount,quantity
2024-11-01,Beijing,Laptop,119980.00,20
2024-11-01,Shanghai,Laptop,89985.00,15
2024-11-01,Guangzhou,Laptop,71988.00,12
2024-11-02,Beijing,Smartphone,79992.00,24
2024-11-02,Shanghai,Smartphone,66660.00,20
2024-11-02,Shenzhen,Smartphone,49995.00,15
2024-11-03,Beijing,Tablet,59980.00,20
2024-11-03,Shanghai,Tablet,44985.00,15
2024-11-03,Guangzhou,Tablet,35988.00,12
2024-11-04,Beijing,Laptop,143976.00,24
2024-11-04,Shanghai,Laptop,107982.00,18
2024-11-04,Shenzhen,Laptop,83979.00,14
2024-11-05,Beijing,Smartphone,99990.00,30
2024-11-05,Shanghai,Smartphone,83325.00,25
2024-11-05,Guangzhou,Smartphone,66660.00,20
2024-11-06,Beijing,Tablet,74975.00,25
2024-11-06,Shanghai,Tablet,62979.00,21
2024-11-06,Shenzhen,Tablet,47982.00,16
2024-11-07,Beijing,Laptop,131978.00,22
2024-11-07,Shanghai,Laptop,101983.00,17
2024-11-07,Guangzhou,Laptop,77985.00,13
2024-11-08,Beijing,Smartphone,89991.00,27
2024-11-08,Shanghai,Smartphone,73326.00,22
2024-11-08,Shenzhen,Smartphone,56661.00,17
2024-11-09,Beijing,Tablet,68976.00,23
2024-11-09,Shanghai,Tablet,56980.00,19
2024-11-09,Guangzhou,Tablet,44985.00,15
2024-11-10,Beijing,Laptop,149975.00,25
2024-11-10,Shanghai,Laptop,113981.00,19
2024-11-10,Shenzhen,Laptop,89985.00,15
